Age,Gender,Occupation
51.0,N/A,N/A
8.0,Female,N/A
15.0,N/A,Teacher
35.0,Female,Doctor
76.0,N/A,N/A
59.0,Female,Artist
86.0,Male,Lawyer
15.0,Male,Nurse
56.0,Female,Artist
53.0,Male,Artist
28.0,N/A,Artist
1.0,Female,Doctor
81.0,N/A,Engineer
15.0,Female,Scientist
42.0,Male,Lawyer
33.0,Female,Scientist
26.0,Female,Doctor
93.0,Male,Engineer
15.0,Male,N/A
50.0,Female,Doctor
62.0,Male,N/A
96.0,Female,Scientist
38.0,Male,Lawyer
13.0,Male,Engineer
13.0,Male,Artist
82.0,Female,Teacher
25.0,Male,Doctor
62.0,Female,Doctor
91.0,Female,Doctor
12.0,Male,Artist
65.0,Female,Teacher
49.78237410071942,Female,Teacher
82.0,N/A,Engineer
73.0,Female,Lawyer
28.0,Male,Lawyer
49.78237410071942,Female,Engineer
87.0,Male,N/A
98.0,Female,Engineer
62.0,N/A,Scientist
32.0,Male,Engineer
21.0,Female,Teacher
74.0,Female,Artist
4.0,Male,Teacher
13.0,Female,N/A
48.0,Female,Doctor
14.0,Male,Engineer
17.0,Male,Artist
70.0,N/A,Doctor
84.0,Male,N/A
88.0,Female,Doctor
37.0,Female,Lawyer
96.0,Female,Artist
50.19349722442506,N/A,Lawyer
16.0,Female,Scientist
70.0,Male,N/A
98.0,Male,Engineer
12.0,Male,Scientist
55.0,Female,Scientist
95.0,Female,Scientist
29.0,Male,Teacher
49.78237410071942,Female,Engineer
76.0,Female,Engineer
84.0,N/A,Scientist
69.0,Male,Artist
80.0,Male,Doctor
58.0,Female,Scientist
3.0,Male,Doctor
49.78237410071942,Female,Nurse
88.0,Female,N/A
13.0,Male,Engineer
21.0,Male,Nurse
5.0,N/A,Doctor
83.0,Female,Doctor
10.0,Male,Teacher
84.0,Male,N/A
93.0,Male,Artist
94.0,Male,N/A
75.0,Female,N/A
91.0,N/A,N/A
100.0,Male,N/A
12.0,Male,Lawyer
21.0,Female,Teacher
55.0,N/A,Engineer
96.0,Male,Teacher
41.0,Female,Scientist
45.0,Female,Teacher
17.0,Female,Nurse
21.0,Male,Nurse
32.0,Female,Engineer
11.0,Male,Doctor
11.0,Male,Nurse
39.0,Male,Lawyer
36.0,Female,Scientist
55.0,Female,Doctor
93.0,N/A,Artist
49.78237410071942,Female,Nurse
58.0,Male,Artist
69.0,Female,Artist
10.0,N/A,Nurse
15.0,Female,Nurse
49.78237410071942,Female,Scientist
48.0,Female,Artist
79.0,Male,Artist
90.0,Female,Lawyer
74.0,Female,Lawyer
64.0,N/A,Doctor
47.0,Male,Lawyer
34.0,Male,Scientist
43.0,Female,Teacher
48.0,Female,Doctor
40.0,N/A,Teacher
5.0,Female,Lawyer
74.0,Female,Nurse
31.0,N/A,Lawyer
58.0,Female,N/A
16.0,Female,Doctor
49.78237410071942,Female,Nurse
50.82427536231884,Male,Nurse
70.0,Male,Engineer
3.0,Male,Engineer
31.0,Female,Doctor
74.0,Female,Doctor
63.0,Female,Teacher
99.0,Male,Doctor
11.0,Female,Lawyer
30.0,Male,Nurse
89.0,Male,N/A
29.0,Female,Scientist
63.0,Male,Scientist
53.0,Male,Teacher
9.0,Male,Nurse
71.0,Male,Nurse
70.0,Male,Engineer
95.0,Male,Artist
22.0,Male,Doctor
96.0,Male,Artist
50.82427536231884,Male,Doctor
90.0,N/A,Nurse
100.0,Male,Doctor
85.0,Male,Engineer
66.0,Male,N/A
26.0,Female,N/A
64.0,Female,Scientist
31.0,Female,Doctor
55.0,N/A,Scientist
72.0,Female,Artist
22.0,Female,Doctor
49.78237410071942,Female,Engineer
23.0,Male,Artist
36.0,Female,Engineer
26.0,Female,Nurse
11.0,Female,Artist
56.0,N/A,Artist
52.0,N/A,Artist
21.0,Male,Teacher
45.0,Female,Artist
46.0,N/A,Lawyer
17.0,Female,Doctor
49.78237410071942,Female,Lawyer
85.0,Female,Artist
81.0,Female,Engineer
50.19349722442506,N/A,Artist
59.0,N/A,N/A
65.0,Female,Scientist
23.0,Female,Teacher
4.0,Male,Artist
36.0,Female,Artist
89.0,Male,N/A
10.0,Female,Scientist
59.0,Male,Engineer
43.0,Female,Nurse
86.0,Male,Doctor
6.0,Female,Teacher
41.0,Female,Scientist
74.0,Male,Engineer
56.0,Female,Artist
33.0,Female,Artist
75.0,Female,Artist
85.0,Female,Engineer
78.0,Male,Doctor
30.0,Female,Artist
94.0,N/A,Nurse
84.0,N/A,Lawyer
47.0,N/A,Lawyer
66.0,Female,Teacher
84.0,Female,Engineer
57.0,Male,Teacher
67.0,Male,Nurse
39.0,Female,Scientist
9.0,Female,Lawyer
50.82427536231884,Male,N/A
74.0,Male,N/A
79.0,Female,Nurse
11.0,Male,Nurse
20.0,N/A,Engineer
25.0,Female,Scientist
75.0,Male,Scientist
46.0,Male,Nurse
92.0,Female,Scientist
31.0,N/A,Scientist
79.0,Female,Engineer
50.19349722442506,N/A,Engineer
71.0,N/A,Doctor
65.0,Male,Engineer
31.0,Male,Artist
69.0,Male,N/A
32.0,Female,N/A
75.0,N/A,N/A
2.0,Female,Teacher
57.0,Female,Lawyer
49.78237410071942,Female,Scientist
31.0,N/A,Lawyer
26.0,Male,Teacher
68.0,Female,Artist
50.82427536231884,Male,Artist
17.0,Male,Artist
32.0,Male,Nurse
31.0,Male,Lawyer
49.78237410071942,Female,Doctor
27.0,Male,Doctor
70.0,Male,Doctor
86.0,Female,Teacher
3.0,Male,Teacher
50.19349722442506,N/A,Scientist
49.78237410071942,Female,Teacher
68.0,Female,N/A
43.0,Male,Lawyer
48.0,Male,Artist
38.0,Female,N/A
12.0,Male,Lawyer
51.0,Female,Artist
